2026-04-25 12:26:34 | INFO     | src.preprocessing | Split → train=884 [2021-03-15→2024-10-11]  val=189 [2024-10-14→2025-07-16]  test=190 [2025-07-17→2026-04-24]
2026-04-25 12:26:34 | INFO     | src.preprocessing | Scaler fitted on 884 training rows.
2026-04-25 12:26:34 | INFO     | src.models.base_model | [XGBoost] MAE=0.0029  RMSE=0.0046  MAPE=0.85%  R²=0.9995
2026-04-25 12:26:34 | INFO     | src.models.xgb_model | XGBoost trained.  Best iter=135  Train R²=0.9995
2026-04-25 12:26:34 | INFO     | src.evaluation | [XGBoost] MAE=9.6592 RMSE=12.7780 MAPE=0.65% R²=0.9711
2026-04-25 12:26:34 | INFO     | src.models.base_model | [LinearRegression] MAE=0.0035  RMSE=0.0047  MAPE=0.92%  R²=0.9995
2026-04-25 12:26:34 | INFO     | src.models.linear_model | Linear Regression trained.  Train R²=0.9995
2026-04-25 12:26:34 | INFO     | src.evaluation | [Linear Regression] MAE=3.0750 RMSE=4.2122 MAPE=0.21% R²=0.9969
2026-04-25 12:27:27 | INFO     | src.evaluation | [Linear Regression] Backtest → Return=-17.3%  B&H=-3.5%  Sharpe=-2.54  MaxDD=-23.3%
2026-04-25 12:27:46 | INFO     | src.evaluation | [XGBoost] Backtest → Return=-14.9%  B&H=-3.5%  Sharpe=-2.51  MaxDD=-18.8%
2026-04-25 12:33:01 | INFO     | src.database | Database initialised at F:\PROJECTS\PYTHON\stock_predictor\data\stock_predictor.db
2026-04-25 12:33:14 | INFO     | src.data_collection | Loading cached data: RELIANCE_2021-01-01_2025-12-31.parquet
2026-04-25 12:33:14 | INFO     | src.data_collection | Validated RELIANCE: 1235 rows, 2021-01-01 → 2025-12-30
2026-04-25 12:33:14 | WARNING  | src.preprocessing | Winsorised 5 outliers in column 'Volume'.
2026-04-25 12:33:14 | INFO     | src.preprocessing | Cleaned DataFrame: 1235 rows, NaN remaining: 1
2026-04-25 12:33:15 | INFO     | src.feature_engineering | Sentiment merged: ['sentiment_mean', 'sentiment_std', 'news_count', 'positive_ratio', 'negative_ratio']
2026-04-25 12:33:15 | INFO     | src.feature_engineering | Features built: 49 columns, 1186 rows (dropped 49 NaN rows).
